cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,monte_carlo_frequency,delta_pp_lower_95,delta_pp_upper_95
validation,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,24.0,,
validation,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,62.0,,
validation,A,severe,FST-original,lost,Concentrated dependency; Hidden convergent dependency,,24.0,,
validation,A,severe,FST-original,paired_delta_summary,,,,18.266426769676833,22.87769784172662
validation,A,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,51.0,,
validation,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,24.0,,
validation,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,62.0,,
validation,A,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,,24.0,,
validation,A,severe,MI-FST,paired_delta_summary,,,,6.364284764248188,9.781881884540123
validation,A,severe,MI-C,gained,Compounding moderate disturbance,RST-30,51.0,,
validation,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,24.0,,
validation,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,62.0,,
validation,A,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,,24.0,,
validation,A,severe,MI-C,paired_delta_summary,,,,6.361144051675989,9.733253611466216
validation,A,severe,MI-M,gained,Compounding moderate disturbance,RST-30,51.0,,
validation,A,severe,MI-M,lost,Concentrated dependency; Hidden convergent dependency,,24.0,,
validation,A,severe,MI-M,paired_delta_summary,,,,0.7071388728410065,3.1204670145858424
validation,A,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,51.0,,
validation,A,severe,MI-MD,paired_delta_summary,,,,2.6988610461839397,4.661062544075091
validation,A,severe,MI-MDA,paired_delta_summary,,,,0.0,0.0
archived,B,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,21.0,,
archived,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-42;RST-43;RST-44;RST-45,253.0,,
archived,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,40.0,,
archived,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,23.0,,
archived,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,13.0,,
archived,B,moderate,FST-original,paired_delta_summary,,,,14.865486652296468,18.049044436746524
archived,B,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,88.0,,
archived,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,23.0,,
archived,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,13.0,,
archived,B,moderate,MI-FST,paired_delta_summary,,,,4.83202454742029,6.8404024851640655
archived,B,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,88.0,,
archived,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,23.0,,
archived,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,13.0,,
archived,B,moderate,MI-C,paired_delta_summary,,,,4.861102918043102,6.815020862308762
archived,B,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,88.0,,
archived,B,moderate,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,13.0,,
archived,B,moderate,MI-M,paired_delta_summary,,,,3.842546952636379,5.681831413812084
archived,B,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,88.0,,
archived,B,moderate,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,13.0,,
archived,B,moderate,MI-MD,paired_delta_summary,,,,3.853427073733188,5.663095052263576
archived,B,moderate,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,13.0,,
archived,B,moderate,MI-MDA,paired_delta_summary,,,,0.28942862622705,0.9726838017978493
archived,B,severe,FST-original,gained,Compounding moderate disturbance,RST-30,60.0,,
archived,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-44;RST-45,135.0,,
archived,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41;RST-42;RST-43,32.0,,
archived,B,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,43.0,,
archived,B,severe,FST-original,lost,Hidden convergent dependency; Compounding moderate disturbance,,14.0,,
archived,B,severe,FST-original,paired_delta_summary,,,,23.643576337185248,29.657435856724156
archived,B,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,60.0,,
archived,B,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,,8.0,,
archived,B,severe,MI-FST,lost,Hidden convergent dependency; Compounding moderate disturbance,,14.0,,
archived,B,severe,MI-FST,paired_delta_summary,,,,2.1118979268040308,5.773461867016309
archived,B,severe,MI-C,gained,Compounding moderate disturbance,RST-30,60.0,,
archived,B,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,,8.0,,
archived,B,severe,MI-C,lost,Hidden convergent dependency; Compounding moderate disturbance,,14.0,,
archived,B,severe,MI-C,paired_delta_summary,,,,2.118632258186422,5.806485676329324
archived,B,severe,MI-M,gained,Compounding moderate disturbance,RST-30,60.0,,
archived,B,severe,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,43.0,,
archived,B,severe,MI-M,paired_delta_summary,,,,8.805635011441648,12.68988857125071
archived,B,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,60.0,,
archived,B,severe,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,43.0,,
archived,B,severe,MI-MD,paired_delta_summary,,,,8.832419807754617,12.725392846813842
archived,B,severe,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,43.0,,
archived,B,severe,MI-MDA,paired_delta_summary,,,,3.2257252379560146,5.843475061717402
validation,B,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,31.0,,
validation,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-42;RST-43;RST-44;RST-45,225.0,,
validation,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,37.0,,
validation,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,15.0,,
validation,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,18.0,,
validation,B,moderate,FST-original,paired_delta_summary,,,,13.534129124605121,16.48964388900585
validation,B,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,96.0,,
validation,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,15.0,,
validation,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,18.0,,
validation,B,moderate,MI-FST,paired_delta_summary,,,,4.979190388883528,6.951632913713715
validation,B,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,96.0,,
validation,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,15.0,,
validation,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,18.0,,
validation,B,moderate,MI-C,paired_delta_summary,,,,4.942249821002708,6.92521747809664
validation,B,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,96.0,,
validation,B,moderate,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,18.0,,
validation,B,moderate,MI-M,paired_delta_summary,,,,4.3357933579335795,6.229876212541448
validation,B,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,96.0,,
validation,B,moderate,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,18.0,,
validation,B,moderate,MI-MD,paired_delta_summary,,,,4.3478260869565215,6.215226077135191
validation,B,moderate,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,18.0,,
validation,B,moderate,MI-MDA,paired_delta_summary,,,,0.4655493482309125,1.2351271198844427
validation,B,severe,FST-original,gained,Compounding moderate disturbance,RST-30,53.0,,
validation,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-44;RST-45,127.0,,
validation,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41;RST-42;RST-43,28.0,,
validation,B,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,36.0,,
validation,B,severe,FST-original,lost,Hidden convergent dependency; Compounding moderate disturbance,,15.0,,
validation,B,severe,FST-original,paired_delta_summary,,,,21.630359137882877,27.65737874097007
validation,B,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,53.0,,
validation,B,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,,6.0,,
validation,B,severe,MI-FST,lost,Hidden convergent dependency; Compounding moderate disturbance,,15.0,,
validation,B,severe,MI-FST,paired_delta_summary,,,,1.649442067376602,5.291049978549978
validation,B,severe,MI-C,gained,Compounding moderate disturbance,RST-30,53.0,,
validation,B,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,,6.0,,
validation,B,severe,MI-C,lost,Hidden convergent dependency; Compounding moderate disturbance,,15.0,,
validation,B,severe,MI-C,paired_delta_summary,,,,1.6573216589188795,5.229455709711846
validation,B,severe,MI-M,gained,Compounding moderate disturbance,RST-30,53.0,,
validation,B,severe,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,36.0,,
validation,B,severe,MI-M,paired_delta_summary,,,,7.668067226890757,11.471861471861471
validation,B,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,53.0,,
validation,B,severe,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,36.0,,
validation,B,severe,MI-MD,paired_delta_summary,,,,7.773055541234899,11.503419729731593
validation,B,severe,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,36.0,,
validation,B,severe,MI-MDA,paired_delta_summary,,,,2.6665983606557377,5.139664804469274
